CustomerID,Age,Annual_Income,Spending_Score,Gender
1,56,42192,61,Female
2,69,72552,40,Male
3,46,41863,61,Female
4,32,91446,67,Female
5,60,41980,80,Female
6,25,15000,76,Male
7,38,44223,15,Female
8,56,54773,53,Female
9,36,81647,4,Female
10,40,34831,23,Female
11,28,35227,27,Female
12,28,79211,37,Female
13,41,32495,77,Female
14,53,56420,43,Male
15,57,56826,37,Male
16,41,64351,85,Female
17,20,45003,29,Female
18,39,41460,29,Male
19,19,66697,49,Female
20,41,42080,75,Female
21,61,32800,51,Male
22,47,84555,50,Female
23,55,69761,28,Female
24,19,95350,74,Female
25,38,75679,5,Female
26,50,34637,56,Male
27,29,61927,64,Female
28,39,39687,89,Female
29,61,26967,97,Male
30,42,51056,17,Male
31,66,79630,97,Female
32,44,65498,89,Female
33,59,32182,97,Female
34,45,50353,55,Female
35,33,57142,9,Female
36,32,26217,91,Female
37,64,74263,89,Female
38,68,55425,68,Male
39,61,32188,73,Male
40,69,31056,79,Female
41,20,82013,16,Female
42,54,52383,16,Female
43,68,83807,13,Female
44,24,91443,78,Female
45,38,80448,86,Female
46,26,49331,85,Male
47,56,15000,73,Male
48,35,66259,63,Female
49,21,101831,41,Female
50,42,59292,53,Female
51,31,20203,68,Male
52,67,46502,74,Male
53,26,56325,99,Male
54,43,38040,9,Female
55,19,15000,51,Male
56,37,58042,48,Female
57,45,44302,80,Female
58,64,95453,49,Female
59,24,62020,18,Female
60,61,69391,10,Male
61,25,57618,85,Female
62,64,61874,54,Female
63,52,26954,79,Male
64,31,39196,15,Female
65,34,81772,11,Female
66,53,64189,40,Female
67,67,52029,47,Male
68,57,69723,20,Female
69,21,70117,98,Female
70,19,99817,22,Male
71,23,63261,48,Female
72,59,38749,82,Female
73,21,57686,16,Female
74,46,72151,5,Female
75,35,79913,65,Male
76,43,27699,83,Male
77,61,65074,74,Female
78,51,42054,21,Male
79,27,48667,61,Female
80,53,76916,77,Female
81,31,74924,55,Male
82,48,46436,24,Female
83,65,56843,23,Female
84,32,49278,87,Female
85,25,117834,11,Female
86,31,65567,47,Male
87,40,43210,2,Male
88,57,86443,70,Male
89,38,87149,53,Male
90,33,95833,11,Male
91,62,101759,15,Female
92,35,74154,73,Male
93,64,53002,12,Male
94,41,55947,36,Female
95,43,54158,92,Female
96,42,51924,23,Female
97,62,84798,27,Female
98,58,60014,88,Female
99,46,79428,14,Male
100,32,73530,54,Male
101,62,38026,99,Male
102,18,25656,27,Female
103,42,35266,21,Male
104,24,51465,49,Female
105,26,62686,62,Male
106,41,47033,77,Female
107,18,74061,72,Male
108,61,49446,44,Male
109,25,65139,44,Female
110,41,62351,98,Female
111,28,94688,61,Female
112,68,40495,42,Male
113,34,104168,23,Female
114,25,48113,73,Female
115,52,33198,1,Female
116,52,55661,36,Male
117,50,124802,55,Female
118,22,77904,16,Male
119,59,72059,89,Male
120,56,75903,18,Male
121,58,44608,98,Female
122,45,66520,38,Male
123,24,60050,67,Female
124,26,96181,20,Female
125,25,57826,19,Female
126,29,52434,13,Male
127,51,36704,17,Male
128,50,62800,78,Male
129,65,65859,30,Female
130,40,35968,86,Female
131,41,69063,43,Male
132,54,64663,48,Male
133,52,80268,43,Female
134,61,84247,93,Female
135,57,61885,66,Female
136,39,39272,53,Female
137,44,43387,72,Male
138,52,95242,78,Male
139,18,63309,34,Female
140,52,94923,77,Male
141,54,69972,74,Male
142,64,75074,72,Female
143,31,78774,71,Female
144,20,35537,13,Male
145,18,66139,90,Female
146,22,35260,56,Male
147,43,54301,59,Female
148,31,72803,32,Male
149,56,39493,83,Female
150,44,71186,79,Male
151,26,30032,54,Female
152,32,82866,2,Female
153,32,46711,37,Female
154,43,39457,83,Female
155,59,31292,97,Female
156,30,48412,33,Male
157,68,21847,1,Male
158,49,49032,28,Female
159,56,81989,17,Male
160,66,56225,57,Male
161,69,36449,70,Female
162,49,64525,52,Male
163,21,62757,44,Male
164,47,99132,84,Male
165,54,75814,47,Male
166,40,66111,13,Female
167,56,78101,76,Male
168,62,57312,30,Male
169,32,58491,85,Male
170,60,93178,66,Male
171,46,27288,53,Female
172,53,79358,18,Male
173,30,57784,28,Female
174,49,54170,4,Female
175,24,48942,42,Female
176,68,63073,6,Female
177,39,59129,9,Female
178,45,51705,20,Male
179,19,45946,94,Male
180,59,21893,38,Female
181,62,45523,68,Female
182,23,49754,50,Male
183,45,63024,60,Male
184,45,99261,13,Female
185,61,47680,99,Male
186,61,39525,94,Male
187,37,45710,42,Female
188,47,63066,68,Female
189,28,71772,25,Female
190,45,74566,31,Female
191,42,76554,12,Female
192,56,79384,64,Male
193,50,54422,79,Female
194,18,101062,61,Male
195,44,52904,53,Female
196,69,62186,26,Female
197,30,85916,61,Female
198,58,71328,10,Female
199,20,15183,12,Female
200,56,60112,22,Female
201,23,77239,53,Male
202,25,33130,21,Female
203,44,75013,35,Female
204,26,67803,71,Male
205,54,83678,82,Male
206,50,46161,27,Female
207,68,79917,60,Male
208,59,63192,99,Male
209,61,95321,47,Female
210,41,115720,66,Female
211,32,90766,96,Male
212,49,69610,15,Female
213,49,106420,24,Male
214,41,72069,84,Male
215,58,41841,10,Male
216,69,59214,88,Male
217,66,75233,24,Female
218,66,76519,88,Female
219,69,37494,57,Female
220,29,38129,34,Female
221,56,53173,41,Female
222,19,70690,40,Female
223,20,73251,11,Female
224,66,62826,90,Female
225,54,43311,1,Female
226,66,94738,30,Female
227,34,38558,43,Female
228,66,86046,82,Female
229,19,74776,26,Male
230,19,85606,53,Female
231,45,51111,47,Female
232,40,57146,9,Female
233,54,61100,9,Female
234,49,50472,1,Female
235,50,64505,71,Male
236,18,91581,44,Male
237,36,34063,59,Female
238,19,46855,56,Female
239,61,44685,51,Female
240,43,58111,16,Male
241,49,57289,38,Female
242,23,75446,11,Female
243,49,60674,25,Male
244,21,66057,93,Male
245,28,67968,83,Female
246,34,64908,82,Female
247,55,74066,59,Male
248,41,57553,29,Female
249,22,92927,80,Female
250,69,110832,40,Male
251,51,74124,8,Female
252,23,64559,98,Male
253,39,72491,6,Female
254,28,37979,45,Female
255,65,63602,53,Male
256,33,45373,94,Male
257,50,70199,98,Male
258,26,45472,21,Male
259,23,53104,57,Male
260,33,22560,76,Male
261,46,36535,6,Male
262,20,67097,63,Male
263,37,42623,6,Male
264,53,81275,53,Female
265,36,40922,4,Female
266,43,69065,9,Male
267,20,44762,69,Female
268,36,67709,74,Male
269,37,29304,72,Male
270,49,50936,87,Female
271,24,43075,4,Male
272,69,77664,58,Male
273,58,69245,37,Male
274,50,35348,71,Male
275,57,55936,6,Female
276,56,44553,51,Male
277,35,79005,79,Female
278,57,85430,99,Female
279,18,31167,50,Male
280,28,76534,96,Female
281,45,43534,14,Female
282,42,54941,99,Female
283,67,60645,11,Female
284,40,96332,10,Male
285,48,39923,61,Male
286,47,76694,81,Male
287,59,36569,13,Female
288,52,35188,34,Female
289,24,60569,60,Male
290,33,60434,51,Female
291,43,15000,5,Female
292,65,83191,74,Male
293,69,17217,32,Female
294,66,57081,12,Female
295,19,86552,52,Male
296,18,104183,13,Male
297,65,52739,85,Male
298,29,31341,54,Male
299,22,85810,97,Male
300,54,77303,54,Male
301,49,50220,41,Male
302,26,47685,48,Female
303,58,45652,51,Male
304,52,53108,47,Female
305,36,66321,50,Male
306,65,48679,96,Female
307,33,51208,76,Female
308,20,72825,46,Female
309,37,30351,99,Female
310,41,52481,100,Female
311,50,26481,38,Male
312,41,62168,92,Male
313,69,21211,13,Male
